Nombre,Descripcion,FechaReserva,Precio
"Crab, red lava","Insertion of Internal Fixation Device into Right Tarsal Joint, Open Approach",2023-07-11 12:41:20,492.79
"Lion, california sea","Dilation of Lower Artery with Two Intraluminal Devices, Open Approach",2023-12-10 01:53:38,1026.92
Kaffir cat,"Restriction of Right Hypogastric Vein with Extraluminal Device, Percutaneous Approach",2024-04-14 23:04:06,933.4
"Wallaby, whip-tailed","Removal of Drainage Device from Mouth and Throat, Open Approach",2023-10-25 15:48:28,333.53
"Iguana, common green","Transfer Large Intestine to Esophagus, Open Approach",2023-07-20 10:38:26,1180.4
"Fox, savanna","Dilation of Right Radial Artery, Bifurcation, with Three Intraluminal Devices, Open Approach",2023-11-05 07:04:29,1017.56
Brolga crane,"Release Left Lacrimal Bone, Open Approach",2023-08-19 20:45:05,1124.67
"Marten, american","Insertion of Intraluminal Device into Left Greater Saphenous Vein, Open Approach",2024-04-20 18:12:37,1455.12
Pale-throated three-toed sloth,"Excision of Left Ankle Region, Open Approach",2024-02-08 23:14:04,1150.86
Kafue flats lechwe,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach",2023-10-02 02:37:58,315.73
"Wagtail, african pied","Reposition Hair, External Approach",2023-10-02 05:12:59,325.48
Grey lourie,"Transfer Left Upper Arm Muscle with Skin and Subcutaneous Tissue, Open Approach",2024-02-26 12:52:10,327.22
"Lion, steller sea","Resection of Descending Colon, Via Natural or Artificial Opening Endoscopic",2023-10-29 11:36:24,1181.63
"Sheep, stone","Drainage of Left Occipital Bone, Open Approach",2023-08-13 09:38:36,578.62
Giant girdled lizard,"Inspection of Pelvic Cavity, Percutaneous Endoscopic Approach",2024-05-15 02:44:09,1193.94
"Badger, european","Repair Gastrointestinal System in Products of Conception with Other Device, Percutaneous Endoscopic Approach",2024-07-07 17:50:26,500.68
"Mynah, common","Bypass Cystic Duct to Stomach, Open Approach",2024-02-29 14:21:51,384.5
"Squirrel, grey-footed","Drainage of Right Ankle Region, Percutaneous Endoscopic Approach",2024-06-30 12:56:32,868.67
Bushpig,"Drainage of Left Thorax Tendon, Percutaneous Endoscopic Approach, Diagnostic",2023-10-28 04:22:28,1087.57
"Cormorant, flightless","Insertion of Infusion Device into Right Popliteal Artery, Open Approach",2024-02-14 09:36:25,729.34
Arboral spiny rat,"Introduction of Vasopressor into Central Vein, Percutaneous Approach",2024-04-08 22:47:27,337.77
Lilac-breasted roller,"Resection of Uterus, Via Natural or Artificial Opening Endoscopic",2024-02-02 17:26:00,946.81
Turtle (unidentified),"Removal of Intraluminal Device from Uterus and Cervix, Percutaneous Approach",2023-08-03 17:59:04,1400.63
Ring-tailed coatimundi,"Introduction of Other Therapeutic Substance into Peritoneal Cavity, Percutaneous Approach",2023-10-04 21:05:18,370.45
"Wolf, mexican","Supplement Right Metatarsal-Tarsal Joint with Autologous Tissue Substitute, Percutaneous Approach",2023-09-11 09:11:56,1388.74
"Squirrel, pine","Insertion of Single Channel Cochlear Prosthesis into Left Inner Ear, Open Approach",2023-09-11 08:07:51,387.27
Chital,"Transfer Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach",2023-08-22 22:28:35,666.1
Cape wild cat,"Revision of Infusion Device in Ureter, Percutaneous Approach",2024-05-14 13:18:16,412.08
"Dolphin, common","Drainage of Left Metacarpocarpal Joint, Open Approach",2023-07-25 22:41:57,647.12
"Cormorant, neotropic","Drainage of Median Nerve with Drainage Device, Percutaneous Endoscopic Approach",2024-05-13 06:36:10,1033.78
