Destino,FechaSalida,FechaRegreso,Descripcion,Precio
Sunne,2024-04-01 05:41:00,2024-01-18 06:37:44,"Removal of Reservoir from Upper Extremity Subcutaneous Tissue and Fascia, Open Approach",540.66
Norfolk,2023-12-04 21:11:34,2023-12-14 20:54:49,"Drainage of Vagus Nerve with Drainage Device, Percutaneous Approach",718.54
Mojokerto,2024-03-09 02:55:31,2024-02-19 20:56:10,"Bypass Right Internal Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach",1613.62
Yushugou,2023-09-01 23:47:57,2023-07-13 18:30:48,"Removal of Intraluminal Device from Uterus and Cervix, Percutaneous Approach",679.71
Dushang,2023-08-22 07:04:37,2023-07-15 12:17:20,"Release Right External Iliac Vein, Open Approach",2047.99
Chengjiao,2024-01-30 13:42:20,2024-02-28 00:20:01,Sperm Collection,1139.24
Amvrosiyivka,2023-10-05 08:56:05,2024-02-14 03:53:37,"Occlusion of Small Intestine with Intraluminal Device, Via Natural or Artificial Opening",2452.42
Huanan,2023-12-26 18:11:16,2024-03-31 00:38:18,"Extirpation of Matter from Left External Ear, External Approach",1778.27
Mikhaylov,2023-07-17 02:05:52,2023-07-24 01:46:56,Fluoroscopy of Bilateral Fallopian Tubes using Low Osmolar Contrast,522.02
Hà Tiên,2023-08-27 12:23:43,2024-02-01 06:28:31,"Irrigation of Female Reproductive using Irrigating Substance, Percutaneous Approach",2320.3
Lesnoy,2024-04-20 00:30:50,2024-01-30 11:59:30,"Extirpation of Matter from Right Kidney Pelvis, Via Natural or Artificial Opening",1122.38
Mentaraman Satu,2024-05-01 15:50:53,2024-04-23 20:52:00,"Fragmentation in Accessory Pancreatic Duct, Open Approach",791.45
Tiang,2023-09-23 07:50:05,2023-10-16 02:45:06,Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Iodine 123 (I-123),1639.03
Winong,2023-09-08 12:24:47,2023-09-10 18:42:11,"Supplement Left Little Finger with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",302.51
Canillo,2024-05-18 04:49:41,2024-02-17 12:04:16,"Replacement of Left Ulna with Synthetic Substitute, Percutaneous Endoscopic Approach",2179.42
Weiguo,2023-10-22 05:19:21,2024-01-06 01:54:18,"Reposition Bladder Neck, Open Approach",722.91
Dayton,2024-03-13 20:35:17,2023-07-20 09:50:19,"Revision of Synthetic Substitute in Right Finger Phalangeal Joint, Percutaneous Approach",2282.94
Cerro,2024-02-27 20:58:23,2024-01-03 07:55:15,Range of Motion and Joint Mobility Treatment of Neurological System - Whole Body using Orthosis,1393.93
Lihu,2024-07-05 15:53:01,2024-05-22 21:57:57,"Fusion of Left Wrist Joint with Internal Fixation Device, Percutaneous Approach",1611.13
Đắk Glei,2023-11-12 13:41:20,2024-06-24 13:11:36,Perceptual Processing Treatment using Aerodynamic Function Equipment,567.87
Pau,2023-10-06 11:38:50,2023-07-10 11:41:57,"Restriction of Thoracic Duct, Open Approach",475.91
Mabalacat,2023-09-25 07:22:12,2024-06-24 23:21:19,"Drainage of Soft Palate, Open Approach",892.79
Añatuya,2024-03-24 14:46:49,2024-04-01 20:41:34,"Extraction of Left Vocal Cord, Percutaneous Approach",1757.06
Jawhar,2023-11-16 15:22:06,2024-05-22 11:16:03,"Removal of Internal Fixation Device from Left Humeral Head, External Approach",1239.77
Budapest,2024-05-26 01:08:33,2023-08-02 14:10:57,"Occlusion of Stomach, Via Natural or Artificial Opening Endoscopic",1252.2
Ust’-Isha,2024-01-09 15:19:48,2024-05-04 13:45:19,Low Dose Rate (LDR) Brachytherapy of Adrenal Glands using Other Isotope,1933.79
Eauripik,2023-08-01 03:51:10,2024-01-27 19:30:48,"Supplement Right Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",1557.29
Yangzizhou,2023-11-09 09:09:03,2024-04-18 01:26:40,Therapeutic Exercise Treatment of Integumentary System - Upper Back / Upper Extremity using Electrotherapeutic Equipment,2191.2
Baishan,2024-03-05 13:06:14,2023-10-12 04:25:42,"Inspection of Right Femoral Region, Percutaneous Approach",1932.7
Pigcawayan,2024-01-09 08:41:20,2023-11-05 07:10:11,"Excision of Cervical Vertebral Disc, Percutaneous Approach, Diagnostic",899.95
Tāybād,2023-12-22 05:46:01,2024-04-10 13:17:34,"Dilation of Face Artery with Three Intraluminal Devices, Open Approach",1185.71
Wangying,2023-12-19 09:49:20,2023-08-05 10:07:13,"Release Descending Colon, Open Approach",1807.02
Las Matas de Santa Cruz,2023-12-27 06:39:03,2023-09-19 08:27:53,"Drainage of Oral Cavity and Throat, Percutaneous Approach, Diagnostic",1569.97
Astana,2024-06-03 14:29:03,2024-06-06 17:38:03,"Monitoring of Gastrointestinal Secretion, Via Natural or Artificial Opening Endoscopic",669.36
Guihulñgan,2023-10-18 05:33:15,2023-10-27 16:14:59,"Reposition Right Glenoid Cavity, Open Approach",1406.0
Santo António das Areias,2023-09-10 17:24:30,2024-02-01 14:25:04,"Resection of Vagina, Via Natural or Artificial Opening Endoscopic",2194.8
